acteur_id,dim1,dim2
PA1008,-0.289163221826502,-0.0680187330121226
PA1206,-0.2425567716773279,0.4998789992830911
PA1327,0.3985999380346861,0.0546562486129795
PA1567,-0.3167879757209595,-0.1269022649813079
PA1592,0.1350490399895347,-0.097677681001225
PA1630,0.231128513470399,0.0792418775768551
PA1874,0.2376255028798621,0.1595679723532817
PA2449,0.4776458855040428,-0.3381181092042615
PA266788,0.0770097578836453,-0.1274287086743361
PA266793,0.180739917344181,0.1227793275272124
PA266797,0.2485400851855801,0.1059390488537498
PA266808,0.3534938581385149,0.1334957649367538
PA267042,0.1364754951413736,-0.0853756086449181
PA267306,-0.4040413678979414,0.0711345560207369
PA267318,0.4019445254701561,-0.2496294456039768
PA267324,0.2184043495236766,0.0597111033306894
PA267336,0.4938159609354481,-0.4057027416300311
PA267429,0.2297628562502656,0.1303060473103933
PA267766,0.1052705872620054,0.0016655774375489
PA267780,0.4804780729119718,-0.2700711690449081
PA267794,0.2663521990642167,0.1072478607397649
PA267901,0.3236827188081259,0.1663275752416954
PA2952,0.1588737239604141,-0.1013840987064943
PA2960,0.6202088857605887,-0.3630365461838647
PA309643,0.1586121092914282,0.3023923388499917
PA330008,0.1522141668889904,0.1261592972860358
PA330240,0.3342638484202389,0.1569796787115017
PA330909,0.233653249413157,0.1074000939501667
PA331582,0.3423739125574001,-0.2288168799563929
PA331835,0.418204747952494,-0.3661366347726934
PA332228,0.2436675228935705,-0.0618233783620041
PA332523,0.283874661195746,0.0698708963698051
PA333285,-0.3507997892721667,-0.2004825864959311
PA333421,0.0313665902288338,-0.0671700922755031
PA334116,0.4202859894464799,-0.284612609960193
PA335054,-0.2686712107173498,-0.1082377203893191
PA335612,-0.5465914637347817,-0.0027089670725593
PA335999,-0.4548847356574249,-0.1401063429977485
PA340343,-0.2610871296699358,-0.1267183822865659
PA340643,0.4589221527619878,-0.2614009710161513
PA342196,-0.3199505929855156,-0.0989284834578393
PA342240,0.2326255332272283,0.1177066211046276
PA342384,-0.6096915990913016,-0.0588449148979592
PA342415,-0.3828923091015345,-0.1680679725580374
PA344201,-0.3125251186336709,-0.1072744607622047
PA345722,0.4818756956172888,-0.2821786036459679
PA346054,0.2177772760884442,0.1195340614722071
PA346782,0.3226677071468595,0.1358378923510257
PA421348,0.3427289621926929,-0.1719028831910045
PA588884,-0.6199202129655752,-0.0551711322409896
PA605036,0.350672544779028,-0.2481691449116985
PA605069,-0.1265421956296253,-0.0818492190927444
PA605694,0.3281146233269278,-0.2223630679520477
PA605745,-0.464502450958308,-0.017504328590038
PA605782,0.3678954054769186,-0.1661968255084966
PA605963,0.4220538918327161,-0.2893005448063209
PA605991,0.2829497179861603,0.0962883741243057
PA606098,0.2726149340266332,0.1190527808796955
PA606507,0.4452604878105732,-0.3414412277378095
PA606639,0.4487023620126265,-0.2385077527807528
PA607090,0.2715444808304657,0.156942476577984
PA607193,0.4134120561651306,-0.3308648427201712
PA607395,0.5383976895084839,-0.3400012497754396
PA607553,-0.2707929473424975,-0.0606692747912205
PA607619,-0.1671236969233037,-0.0309448567284801
PA608016,0.2991525476497721,0.0626641435820362
PA608172,-0.3274805574946203,-0.1455172748117666
PA608416,0.2681848412332602,0.1564214678639715
PA608695,-0.2563544087586017,-0.1111050073145313
PA608826,0.2312476389717176,0.0890430365272628
PA609332,-0.3494025268229866,-0.1226771132236341
PA609520,0.3171955825214452,-0.3470359725075438
PA609590,-0.2907542689101003,-0.1473632888651128
PA610002,-0.4376397786529718,-0.1307836213461775
PA610654,-0.6992517005326415,0.0247618220058314
PA642695,0.347448157761224,-0.2837938732237088
PA642764,-0.2887557577272006,-0.1310860522331437
PA642847,0.2789573366591215,0.173881263803665
PA642868,0.3935522734673021,-0.2152706852169602
PA642988,0.1421321345082148,0.6728135788191902
PA643048,0.4718185975103866,-0.3035528543740579
PA643089,0.2632463814026873,0.058428133934644
PA643134,0.2376131681498735,0.1886828740984891
PA643143,-0.3410380320111311,-0.087005775095945
PA643157,-0.3633429243243767,-0.1264153466991545
PA643175,0.265841455565788,-0.2861265256021505
PA643184,0.5266146353741968,-0.3734951095966033
PA643192,-0.3521734495926528,-0.1273574175713797
PA677483,0.4857798801571835,-0.322289952959935
PA695100,0.3471721171178813,0.1129199700376039
PA712014,0.5243433341237524,-0.3691208859396184
PA712015,0.2325473053763611,0.0860420649923001
PA717379,0.6112295065294331,-0.4216021071402044
PA718674,0.4786206742721113,-0.3637690901998009
PA718710,0.429886217365286,-0.2731436879980395
PA718784,0.2686619763861421,0.1368215046118547
PA718838,0.1771323017568422,0.1059679267299427
PA718850,0.1713702012271826,0.1586317803258247
PA718860,-0.4175034537072722,-0.0093887477281051
PA718884,0.2473533713037878,0.1524252229534376
PA718910,0.4166168094381836,-0.2556570944109617
PA718926,-0.4664488417647108,0.1339332460124187
PA718930,0.4964773588847883,-0.3746216699236082
PA718962,0.6500464306007186,-0.4727847242661658
PA718978,0.4470250531477387,-0.2342951796031327
PA719006,0.4768950787699851,-0.3575423808039709
PA719024,0.3692013730831354,-0.2034963441130761
PA719032,0.5361051794145478,-0.3492140344273757
PA719052,0.3550821367248473,-0.1676184684888992
PA719072,0.3531582034826858,-0.2505030420068416
PA719080,0.5451920957921581,-0.3763251897271875
PA719100,0.4878506037636013,-0.312146231331987
PA719108,0.4709578926831291,-0.363320521965522
PA719118,0.3940848257282225,-0.317330497347318
PA719138,-0.1338019826109686,-0.0219979456208257
PA719146,-0.1160922742938541,-0.0301089496194801
PA719154,0.5348913724412575,-0.3441673415281653
PA719186,0.5458877708230893,-0.3859071818745765
PA719190,0.4998644604216016,-0.331881241337309
PA719202,0.4523517156979824,-0.2861569117414675
PA719266,0.3878977608727845,-0.1985762258597977
PA719272,0.1593388553924722,-0.0472730218867078
PA719286,-0.178157782916671,-0.0042409561256686
PA719294,0.354245299855864,-0.3294905599829456
PA719318,0.2050361425496958,0.1066431245634894
PA719338,0.4318035368621826,-0.2728193117879408
PA719372,0.5274519388325322,-0.3507426607269351
PA719376,0.446343776624604,-0.3219045345905875
PA719382,0.3812430479283984,-0.1876617584438842
PA719388,0.4963576149233802,-0.3572137460993161
PA719396,0.2173905581460282,-0.164782504190143
PA719404,0.3623191292969744,-0.2882153096754227
PA719412,0.4435391202363731,-0.348651020259966
PA719436,0.1061578057091272,0.7652425449858468
PA719472,0.5576078256977343,-0.3927670548673602
PA719488,0.3644652979622947,-0.2346962414236417
PA719512,0.5316183378158296,-0.367707847838058
PA719528,0.3557974187956965,-0.1819897067599797
PA719550,0.4297637377999014,-0.2817180704047696
PA719558,0.3622080955664025,-0.2825148812658237
PA719578,-0.7087311254556855,-0.1198473822579056
PA719600,0.5915596747268357,-0.4120842483191563
PA719608,0.189466383418352,0.2881846650035988
PA719624,0.3939602448888137,-0.280375098307565
PA719632,0.5798920081202178,-0.3592141062664994
PA719640,0.4474718223607057,-0.2439794303619368
PA719664,0.4691458307593166,-0.3092305101823716
PA719672,0.4891650176812848,-0.3659788376709472
PA719718,0.4236481571644075,-0.3099078240630596
PA719756,0.5257468918598044,-0.3629047191170216
PA719778,0.3605337171096954,-0.1387949536099095
PA719798,0.622964008110929,-0.4119889618170506
PA719814,0.5352979585306851,-0.3974344579898842
PA719822,0.4477930599268908,-0.2350610901912322
PA719866,0.5429139598430801,-0.4384479258738579
PA719874,0.4041843739456535,-0.29476907509708
PA719882,0.5458570428636769,-0.3934416878333308
PA719890,0.4952563495086143,-0.3300684053354986
PA719910,0.4481005184924153,-0.2915742519094541
PA719914,0.4703483605229949,-0.2409029480946113
PA719918,0.3580385616402455,-0.2678826294087078
PA719922,0.300303545685585,-0.2603845219600033
PA719930,-0.3368098234459605,-0.1440322029806054
PA719968,0.2144577439319441,0.1111403857901376
PA720006,0.3599867007959619,-0.2144368744265042
PA720014,0.5099836442201073,-0.3676865358947484
PA720022,0.5512371183025875,-0.4365728442609027
PA720038,0.3601855605260282,-0.2312500687745805
PA720054,0.4364263192968696,-0.3056497476509558
PA720066,0.5218952678349421,-0.3147144332631084
PA720074,0.3819812875885223,-0.2943493677544976
PA720092,0.1665731429942741,-0.1442676848814115
PA720100,0.1313574799882839,0.0551024123622594
PA720138,0.6284306109969019,-0.43254927590535
PA720146,0.5443755525902375,-0.355334033504968
PA720154,0.7887079364563898,-0.5833771539704714
PA720162,0.4341184438303157,-0.2243270857150578
PA720174,0.4659280142042074,-0.2892437741359875
PA720190,0.4810714822778474,-0.3136115783301134
PA720222,0.5872688883890157,-0.403568462656091
PA720230,0.4580623476700044,-0.2234552653762442
PA720256,0.3817918407382594,-0.2577287855903538
PA720286,-0.6113929857407355,-0.0582908427952083
PA720334,0.2868029491793077,-0.2166589476836866
PA720342,0.5088109560683347,-0.3645287359025971
PA720354,0.3937514970869686,-0.2658094392467587
PA720362,0.4090842402013463,-0.282648322732098
PA720370,0.4620964638564667,-0.3619313881064463
PA720386,0.2007233886838607,0.1021478198467828
PA720414,0.4157479045520607,-0.2918654754276715
PA720422,-0.6408289962504978,-0.0568633072989668
PA720430,-0.7562591257248068,-0.0863627709730706
PA720446,0.5038087088230778,-0.3628074385526924
PA720468,0.0916126957057162,0.5250413117611192
PA720480,0.4364964552423583,-0.286559535744207
PA720552,0.4646114408504868,-0.2611271658961284
PA720560,0.3793947258059644,-0.2662924672920586
PA720586,0.2392467973099705,0.1229741062128724
PA720614,0.0679875851758838,0.6188082524769889
PA720630,0.1802170194922693,0.1367935200927723
PA720644,0.1811193452916675,0.135488017970386
PA720668,0.0783563611881177,0.6960510017683571
PA720684,0.2258818448511053,0.1541816059459181
PA720692,-0.371908252570047,0.0727566094987451
PA720696,0.0797953079965732,-0.0256491662071496
PA720704,0.2933008398359096,-0.1801354980169486
PA720720,0.3743135807025685,-0.2363070871766122
PA720728,0.4037292043604546,-0.2308789324509539
PA720754,0.4926320387558655,-0.3383192953555414
PA720764,0.4346628529105842,-0.2717691896036625
PA720772,0.3482384248114976,-0.2426675562739721
PA720822,0.0323703032114325,0.7469049714601166
PA720838,-0.4622123868342294,0.0049856261212067
PA720846,-0.7386636099023094,-0.0619243830905443
PA720862,0.4494526532254097,-0.2827902945468743
PA720892,-0.680510499177053,-0.064568112411654
PA720900,0.3286643603883391,-0.3481891041134841
PA720908,0.3542354565442871,-0.1787148453290547
PA720932,0.5492616934622878,-0.3331410116264063
PA720952,-0.4793956868981873,-0.1165748906061199
PA720960,-0.0908956353291753,0.0359122548089662
PA720976,-0.0749482341827544,0.0233109572106564
PA720992,-0.3900066601440966,0.0277852697967609
PA721004,0.4556989013116657,-0.2759266391373132
PA721024,0.5642987117962581,-0.3938850723947007
PA721046,-0.006019117979992,0.0254170496007089
PA721062,-0.7132110761810012,-0.0972998842822696
PA721094,0.5139106048261686,-0.3701132360850402
PA721118,-0.49115885616536,0.0776428410181704
PA721150,0.4813788740539649,-0.3226048226068947
PA721158,0.4773881855378849,-0.3363044528556668
PA721170,0.474454578907201,-0.2758927198934092
PA721182,0.4524628960054861,-0.2551861666064393
PA721202,-0.5156446724819449,-0.1018308081692523
PA721210,-0.5722691168042141,-0.0522341862603641
PA721234,0.3301708456745871,-0.1892500062852071
PA721262,0.4036130109165707,-0.3010630232100725
PA721270,-0.3357398114643106,-0.0636986549808366
PA721296,0.5447112534797919,-0.4030240023228202
PA721314,0.2209352464522628,0.0457258370529172
PA721328,0.4687900911693257,-0.4044626338956564
PA721336,0.4101265056435458,-0.1801165926494602
PA721410,0.242240082615438,0.1288483974839389
PA721426,0.4205650193281169,-0.3322844270527346
PA721442,0.1970097421490301,0.1038552730484747
PA721458,0.4171542893528563,-0.3057583423717292
PA721466,0.4032820664051483,-0.3487644721939292
PA721474,0.2629942816111808,0.0668435830157267
PA721482,0.4850171649477028,-0.3578106228725074
PA721486,0.100080212224796,0.0255847403462543
PA721522,0.3631112815472226,-0.1127234990574242
PA721530,0.4551443255651716,-0.2870633287090666
PA721584,0.5353775948624363,-0.3678376690911301
PA721608,0.3625502440465314,-0.2237779301389444
PA721632,0.4658222315310658,-0.3112773693702609
PA721678,0.4706573484622942,-0.2835573049604554
PA721710,0.4320826132381495,-0.3522824904522425
PA721722,0.5088419123761186,-0.3634225478153297
PA721750,0.4577899811305617,-0.3243675280892743
PA721760,0.3938630142130469,-0.199290676395619
PA721816,0.1749978038908675,0.1790006724854968
PA721828,0.4508731067308626,-0.2658420787397566
PA721844,0.4479266733804776,-0.3350974728189188
PA721852,0.5722444237222175,-0.4089375037869114
PA721880,0.5070478134877595,-0.3133558791818845
PA721896,-0.5464117825723126,-0.0767292559712074
PA721916,0.5214386049364123,-0.3335497449233527
PA721932,0.1165856434575463,0.8835484272036366
PA721960,-0.7498316405488141,-0.0650059888834481
PA721976,0.3989799104968589,-0.21995050628627
PA721984,0.2493909491984127,-0.1169383668523532
PA722000,0.4801794098661069,-0.3674927535226058
PA722038,0.405845733370231,-0.3138489508820891
PA722046,0.5037931880061309,-0.3629439161892596
PA722054,0.4432416155675873,-0.3337270542942521
PA722070,0.4194554732160961,-0.1962229183189922
PA722102,0.4306108379081783,-0.2018492400593989
PA722110,-0.3531652097290215,0.0555771832828031
PA722134,0.4299965918035641,-0.2882108637330503
PA722142,-0.6767849003006963,0.0168258918155241
PA722150,0.4540808853314334,-0.3499532515170264
PA722162,0.4362472857226981,-0.2347947779055635
PA722202,-0.3279273582345682,0.0512512375552431
PA722252,0.3357310642650564,-0.2687604367124867
PA722284,0.4227427624466982,-0.2207218145572826
PA722292,0.4361589040517163,-0.2922006756641249
PA722308,0.276539926082888,0.165789428660336
PA722336,0.4106622968357778,-0.206052785204463
PA722344,-0.4388342720362173,-0.154834684235159
PA722358,0.4849242864160515,-0.3424973819165485
PA722366,0.528326053161408,-0.3937050671794505
PA722374,0.4820138675025441,-0.2391376522966342
PA722382,0.4751279867189448,-0.3375192356256358
PA722390,0.2258798406278256,0.1438918146671216
PA722398,0.4690820034175962,-0.2591926212984027
PA736201,-0.473681874616211,-0.1502762091228268
PA757225,0.4440659711489989,-0.2607667573149539
PA774954,0.2718785875953841,0.1478599533523285
PA774958,-0.322304600102232,-0.107649494762637
